city,image_url,gps_location,timestamp,price,category,url,description,Video Link,website,report_link
Hamburg,,"52.917116,9.994122",2023-02-16 19:00:00,456.42,business,https://example.com/item/0,Wireless Bluetooth headphones with noise cancellation and 20-hour battery life,https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.wikipedia.org,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://www.w3schools.com/css/img_5terre.jpg,"52.082159,11.991726",2023-10-27 15:00:00,327.77,travel,https://example.com/item/1,Organic green tea with natural antioxidants and calming aroma,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bbc.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://www.w3schools.com/w3images/lights.jpg,"48.753588,10.540994",2023-10-27 15:00:00,491.21,travel,https://example.com/item/2,Water-resistant smartwatch with heart rate monitor and GPS tracking,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.cnn.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"51.479064,12.291794",2023-03-17 06:00:00,323.64,travel,https://example.com/item/3,Eco-friendly bamboo toothbrush with biodegradable handle,https://www.youtube.com/embed/60ItHLz5WEA,https://www.nytimes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://www.w3schools.com/css/img_5terre.jpg,"49.629795,9.101205",2023-03-20 09:00:00,336.49,travel,https://example.com/item/4,4K Ultra HD Smart TV with voice control and streaming apps,https://www.youtube.com/embed/9bZkp7q19f0,https://www.theguardian.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"51.555748,12.047505",2023-01-15 14:00:00,299.67,business,https://example.com/item/5,"High-protein energy bar with almonds, oats, and dark chocolate",https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.reuters.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,,"49.74333,8.480883",2023-05-03 15:00:00,90.95,travel,https://example.com/item/6,Minimalist leather wallet with RFID protection,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bloomberg.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,invalid_url,"52.702616,9.98786",2023-05-21 16:00:00,376.88,business,https://example.com/item/7,Portable USB-C charger with fast charging support,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.nationalgeographic.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"50.588757,12.188551",2023-05-05 06:00:00,296.35,business,https://example.com/item/8,Digital DSLR camera with 24MP sensor and WiFi connectivity,https://www.youtube.com/embed/60ItHLz5WEA,https://www.forbes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"51.378451,11.676081",2023-07-01 16:00:00,252.91,leisure,https://example.com/item/9,Stainless steel water bottle with vacuum insulation and sleek design,https://www.youtube.com/embed/9bZkp7q19f0,https://www.nasa.gov,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://www.w3schools.com/css/img_5terre.jpg,"49.045358,10.70724",2023-05-08 22:00:00,459.71,education,https://example.com/item/10,Wireless Bluetooth headphones with noise cancellation and 20-hour battery life,https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.wikipedia.org,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"51.478922,9.14275",2023-01-15 10:00:00,184.08,education,https://example.com/item/11,Organic green tea with natural antioxidants and calming aroma,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bbc.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,,"48.874775,12.910842",2023-12-20 13:00:00,285.62,business,https://example.com/item/12,Water-resistant smartwatch with heart rate monitor and GPS tracking,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.cnn.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://picsum.photos/200/300,"50.583179,9.304146",2023-06-04 13:00:00,363.94,leisure,https://example.com/item/13,Eco-friendly bamboo toothbrush with biodegradable handle,https://www.youtube.com/embed/60ItHLz5WEA,https://www.nytimes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,invalid_url,"52.981268,12.827097",2023-07-30 17:00:00,408.41,business,https://example.com/item/14,4K Ultra HD Smart TV with voice control and streaming apps,https://www.youtube.com/embed/9bZkp7q19f0,https://www.theguardian.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"50.791467,12.413182",2023-02-16 06:00:00,256.71,business,https://example.com/item/15,"High-protein energy bar with almonds, oats, and dark chocolate",https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.reuters.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://picsum.photos/200/300,"48.943536,9.394357",2023-07-31 20:00:00,428.94,business,https://example.com/item/16,Minimalist leather wallet with RFID protection,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bloomberg.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://www.w3schools.com/css/img_5terre.jpg,"51.501789,12.233306",2023-07-25 05:00:00,396.01,leisure,https://example.com/item/17,Portable USB-C charger with fast charging support,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.nationalgeographic.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,,"52.281621,10.022541",2023-09-06 17:00:00,79.81,education,https://example.com/item/18,Digital DSLR camera with 24MP sensor and WiFi connectivity,https://www.youtube.com/embed/60ItHLz5WEA,https://www.forbes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"52.43885,12.254642",2023-03-28 09:00:00,70.64,leisure,https://example.com/item/19,Stainless steel water bottle with vacuum insulation and sleek design,https://www.youtube.com/embed/9bZkp7q19f0,https://www.nasa.gov,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://picsum.photos/200/300,"52.678175,11.926703",2023-07-15 11:00:00,329.36,travel,https://example.com/item/20,Wireless Bluetooth headphones with noise cancellation and 20-hour battery life,https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.wikipedia.org,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,invalid_url,"51.344941,10.903433",2023-05-23 07:00:00,206.34,leisure,https://example.com/item/21,Organic green tea with natural antioxidants and calming aroma,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bbc.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://images.unsplash.com/photo-1503023345310-bd7c1de61c7d,"49.861414,12.700667",2023-02-06 01:00:00,144.11,leisure,https://example.com/item/22,Water-resistant smartwatch with heart rate monitor and GPS tracking,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.cnn.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,https://www.w3schools.com/css/img_5terre.jpg,"52.868319,9.419605",2023-12-16 20:00:00,310.84,leisure,https://example.com/item/23,Eco-friendly bamboo toothbrush with biodegradable handle,https://www.youtube.com/embed/60ItHLz5WEA,https://www.nytimes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,,"49.526819,10.428069",2023-05-10 22:00:00,203.7,leisure,https://example.com/item/24,4K Ultra HD Smart TV with voice control and streaming apps,https://www.youtube.com/embed/9bZkp7q19f0,https://www.theguardian.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://images.unsplash.com/photo-1503023345310-bd7c1de61c7d,"50.242121,12.972287",2023-09-05 11:00:00,291.77,education,https://example.com/item/25,"High-protein energy bar with almonds, oats, and dark chocolate",https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.reuters.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://www.w3schools.com/w3images/lights.jpg,"48.879626,8.090377",2023-06-29 01:00:00,257.05,travel,https://example.com/item/26,Minimalist leather wallet with RFID protection,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bloomberg.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://www.w3schools.com/css/img_5terre.jpg,"50.469469,8.894114",2023-02-03 14:00:00,313.14,education,https://example.com/item/27,Portable USB-C charger with fast charging support,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.nationalgeographic.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,invalid_url,"49.832344,11.720853",2023-07-22 05:00:00,230.14,education,https://example.com/item/28,Digital DSLR camera with 24MP sensor and WiFi connectivity,https://www.youtube.com/embed/60ItHLz5WEA,https://www.forbes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://picsum.photos/200/300,"51.6047,9.540304",2023-12-12 18:00:00,363.95,leisure,https://example.com/item/29,Stainless steel water bottle with vacuum insulation and sleek design,https://www.youtube.com/embed/9bZkp7q19f0,https://www.nasa.gov,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,,"50.712701,10.54407",2023-02-11 22:00:00,131.03,business,https://example.com/item/30,Wireless Bluetooth headphones with noise cancellation and 20-hour battery life,https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.wikipedia.org,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"51.181663,9.252309",2023-12-22 23:00:00,363.43,business,https://example.com/item/31,Organic green tea with natural antioxidants and calming aroma,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bbc.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"50.949354,12.894464",2023-01-21 17:00:00,235.25,education,https://example.com/item/32,Water-resistant smartwatch with heart rate monitor and GPS tracking,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.cnn.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,https://www.w3schools.com/css/img_5terre.jpg,"50.433711,12.530494",2023-07-19 16:00:00,443.44,education,https://example.com/item/33,Eco-friendly bamboo toothbrush with biodegradable handle,https://www.youtube.com/embed/60ItHLz5WEA,https://www.nytimes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"50.171972,9.750392",2023-12-20 16:00:00,281.86,leisure,https://example.com/item/34,4K Ultra HD Smart TV with voice control and streaming apps,https://www.youtube.com/embed/9bZkp7q19f0,https://www.theguardian.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,invalid_url,"51.225517,11.34462",2023-11-02 20:00:00,487.9,education,https://example.com/item/35,"High-protein energy bar with almonds, oats, and dark chocolate",https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.reuters.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Stuttgart,,"52.320838,9.150926",2023-11-03 10:00:00,320.87,leisure,https://example.com/item/36,Minimalist leather wallet with RFID protection,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bloomberg.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://picsum.photos/200/300,"50.495967,10.860021",2023-03-23 09:00:00,150.73,business,https://example.com/item/37,Portable USB-C charger with fast charging support,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.nationalgeographic.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"51.84277,8.218019",2023-11-22 03:00:00,419.81,business,https://example.com/item/38,Digital DSLR camera with 24MP sensor and WiFi connectivity,https://www.youtube.com/embed/60ItHLz5WEA,https://www.forbes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"52.972753,10.349723",2023-07-07 05:00:00,205.29,travel,https://example.com/item/39,Stainless steel water bottle with vacuum insulation and sleek design,https://www.youtube.com/embed/9bZkp7q19f0,https://www.nasa.gov,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gull_portrait_ca_usa.jpg,"49.397802,12.41747",2023-08-01 20:00:00,206.43,business,https://example.com/item/40,Wireless Bluetooth headphones with noise cancellation and 20-hour battery life,https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.wikipedia.org,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,https://www.w3schools.com/css/img_5terre.jpg,"51.738594,12.765359",2023-11-18 05:00:00,64.31,education,https://example.com/item/41,Organic green tea with natural antioxidants and calming aroma,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bbc.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Hamburg,,"49.653752,10.763825",2023-11-28 14:00:00,296.92,business,https://example.com/item/42,Water-resistant smartwatch with heart rate monitor and GPS tracking,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.cnn.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://picsum.photos/200/300,"50.861462,12.901658",2023-05-08 16:00:00,290.49,leisure,https://example.com/item/43,Eco-friendly bamboo toothbrush with biodegradable handle,https://www.youtube.com/embed/60ItHLz5WEA,https://www.nytimes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://upload.wikimedia.org/wikipedia/commons/4/47/PNG_transparency_demonstration_1.png,"48.376731,9.528485",2023-06-25 09:00:00,210.2,business,https://example.com/item/44,4K Ultra HD Smart TV with voice control and streaming apps,https://www.youtube.com/embed/9bZkp7q19f0,https://www.theguardian.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Berlin,https://www.w3schools.com/css/img_5terre.jpg,"48.954555,9.342374",2023-09-15 05:00:00,452.4,travel,https://example.com/item/45,"High-protein energy bar with almonds, oats, and dark chocolate",https://www.youtube.com/embed/dQw4w9WgXcQ,https://www.reuters.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,https://www.w3schools.com/css/img_5terre.jpg,"50.426399,9.863434",2023-05-01 10:00:00,107.94,business,https://example.com/item/46,Minimalist leather wallet with RFID protection,https://www.youtube.com/embed/3JZ_D3ELwOQ,https://www.bloomberg.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Cologne,https://www.w3schools.com/w3images/lights.jpg,"49.973457,12.221066",2023-04-03 09:00:00,198.54,leisure,https://example.com/item/47,Portable USB-C charger with fast charging support,https://www.youtube.com/embed/Zi_XLOBDo_Y,https://www.nationalgeographic.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
Munich,,"52.650084,8.352081",2023-07-28 17:00:00,194.71,leisure,https://example.com/item/48,Digital DSLR camera with 24MP sensor and WiFi connectivity,https://www.youtube.com/embed/60ItHLz5WEA,https://www.forbes.com,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf
